03-11-2022 13:44:38; ходит следующий; Следующий ход
03-11-2022 13:44:40; ходит пользователь; 2
03-11-2022 13:44:40; ответ бота; Ничья!
03-11-2022 13:44:41; ответ бота; Новая игра!
03-11-2022 13:44:46; ходит пользователь; 1
03-11-2022 13:44:46; ходит бот; 1
03-11-2022 13:44:46; ходит следующий; Следующий ход
03-11-2022 13:47:54; Запуск бота командой start; start
03-11-2022 13:47:54; ответ бота; Привет, {message.from_user.first_name}! Добро пожаловать в игру крестики-нолики!
03-11-2022 13:47:55; ходит пользователь; 1
03-11-2022 13:47:55; ходит бот; 9
03-11-2022 13:47:55; ходит следующий; Следующий ход
03-11-2022 13:47:57; ходит пользователь; 6
03-11-2022 13:47:57; ходит бот; 3
03-11-2022 13:47:57; ходит следующий; Следующий ход
03-11-2022 13:48:00; ходит пользователь; 8
03-11-2022 13:48:00; ходит бот; 2
03-11-2022 13:48:00; ходит следующий; Следующий ход
03-11-2022 13:48:04; ходит пользователь; 7
03-11-2022 13:48:04; ходит бот; 5
03-11-2022 13:48:04; ходит следующий; Следующий ход
03-11-2022 13:48:05; ходит пользователь; 4
03-11-2022 13:48:05; ответ бота; Ничья!
03-11-2022 13:48:05; ответ бота; Новая игра!
03-11-2022 13:48:15; ходит пользователь; 1
03-11-2022 13:49:19; ходит пользователь; 2
03-11-2022 13:49:19; ходит бот; 3
03-11-2022 13:49:19; ходит следующий; Следующий ход
03-11-2022 13:49:21; ходит пользователь; 8
03-11-2022 13:49:21; ходит бот; 9
03-11-2022 13:49:21; ходит следующий; Следующий ход
03-11-2022 13:49:22; ходит пользователь; 7
03-11-2022 13:49:22; ходит бот; 1
03-11-2022 13:49:22; ходит следующий; Следующий ход
03-11-2022 13:49:24; ходит пользователь; 5
03-11-2022 13:49:25; ответ бота; Вы выиграли!
03-11-2022 13:49:25; ответ бота; Новая игра!
03-11-2022 13:49:28; ходит пользователь; 1
03-11-2022 13:49:28; ходит бот; 6
03-11-2022 13:49:28; ходит следующий; Следующий ход
03-11-2022 13:49:29; ходит пользователь; 7
03-11-2022 13:49:29; ходит бот; 4
03-11-2022 13:49:29; ходит следующий; Следующий ход
03-11-2022 13:49:30; ходит пользователь; 2
07-11-2022 16:57:57; Запуск бота командой start; start
07-11-2022 16:57:57; ответ бота; Привет, {message.from_user.first_name}! Добро пожаловать в игру крестики-нолики!
07-11-2022 16:57:59; ходит пользователь; 1
07-11-2022 16:57:59; ходит бот; 3
07-11-2022 16:58:00; ходит следующий; Следующий ход
07-11-2022 16:58:01; ходит пользователь; 5
07-11-2022 16:58:01; ходит бот; 2
07-11-2022 16:58:01; ходит следующий; Следующий ход
